quote,author,sentiment_score,sentiment
“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,Albert Einstein,0.25,Positive
"“It is our choices, Harry, that show what we truly are, far more than our abilities.”",J.K. Rowling,0.4404,Positive
“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,Albert Einstein,-0.4717,Negative
"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",Jane Austen,0.2964,Positive
"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",Marilyn Monroe,0.2516,Positive
“Try not to become a man of success. Rather become a man of value.”,Albert Einstein,0.5719,Positive
“It is better to be hated for what you are than to be loved for what you are not.”,André Gide,0.3818,Positive
"“I have not failed. I've just found 10,000 ways that won't work.”",Thomas A. Edison,0.4023,Positive
“A woman is like a tea bag; you never know how strong it is until it's in hot water.”,Eleanor Roosevelt,-0.0521,Negative
"“A day without sunshine is like, you know, night.”",Steve Martin,-0.5773,Negative
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",Marilyn Monroe,0.9951,Positive
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",J.K. Rowling,0.3716,Positive
"“If you can't explain it to a six year old, you don't understand it yourself.”",Albert Einstein,0.0,Neutral
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",Bob Marley,0.9753,Positive
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”",Dr. Seuss,-0.0516,Negative
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”",Douglas Adams,0.0,Neutral
"“The opposite of love is not hate, it's indifference. The opposite of art is not ugliness, it's indifference. The opposite of faith is not heresy, it's indifference. And the opposite of life is not death, it's indifference.”",Elie Wiesel,0.9484,Positive
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,0.0724,Positive
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,0.8555,Positive
“Life is what happens to us while we are making other plans.”,Allen Saunders,0.0,Neutral
"“I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.”",Pablo Neruda,0.9447,Positive
“For every minute you are angry you lose sixty seconds of happiness.”,Ralph Waldo Emerson,-0.7184,Negative
"“If you judge people, you have no time to love them.”",Mother Teresa,0.4588,Positive
“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”,Garrison Keillor,0.0,Neutral
“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,Jim Henson,-0.7184,Negative
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”",Dr. Seuss,0.2302,Positive
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”",Albert Einstein,0.7841,Positive
